github_org,org_type,govuk_slug,england_planning_data_reference,wikidata_id,site_slug,site_url
metomi,gov_uk,met-office,,Q1851405,met-office,https://publicsectorcodebyorg.co.uk/org/met-office
jncc,gov_uk,joint-nature-conservation-committee,,Q6269293,joint-nature-conservation-committee,https://publicsectorcodebyorg.co.uk/org/joint-nature-conservation-committee
JNCC-UK,gov_uk,joint-nature-conservation-committee,,Q6269293,joint-nature-conservation-committee,https://publicsectorcodebyorg.co.uk/org/joint-nature-conservation-committee
VMDDTE,gov_uk,veterinary-medicines-directorate,,Q7923709,veterinary-medicines-directorate,https://publicsectorcodebyorg.co.uk/org/veterinary-medicines-directorate
BathnesDevelopment,english_council,,BAS,Q16966588,bath-and-north-east-somerset-council,https://publicsectorcodebyorg.co.uk/org/bath-and-north-east-somerset-council
brighton-hove-gov-uk,english_council,,BNH,Q16953725,brighton-and-hove-city-council,https://publicsectorcodebyorg.co.uk/org/brighton-and-hove-city-council
BracknellForestCouncil,english_council,,BRC,Q896725,bracknell-forest-council,https://publicsectorcodebyorg.co.uk/org/bracknell-forest-council
BristolCityCouncil,english_council,,BST,Q16953796,bristol-city-council,https://publicsectorcodebyorg.co.uk/org/bristol-city-council
CamdenCouncil,english_council,,CMD,Q5025790,london-borough-of-camden,https://publicsectorcodebyorg.co.uk/org/london-borough-of-camden
coventry-city-council,english_council,,COV,Q5179058,coventry-city-council,https://publicsectorcodebyorg.co.uk/org/coventry-city-council
DevonCC,english_council,,DEV,Q6385990,devon-county-council,https://publicsectorcodebyorg.co.uk/org/devon-county-council
Dorset-Council-UK,english_council,,DST,Q55609905,dorset-council,https://publicsectorcodebyorg.co.uk/org/dorset-council
essexcountycouncil,english_council,,ESS,Q5399679,essex-county-council,https://publicsectorcodebyorg.co.uk/org/essex-county-council
east-sussex-county-council,english_council,,ESX,Q5329458,east-sussex-county-council,https://publicsectorcodebyorg.co.uk/org/east-sussex-county-council
wfcouncil,english_council,,WFT,Q40608,london-borough-of-waltham-forest,https://publicsectorcodebyorg.co.uk/org/london-borough-of-waltham-forest
LBHackney-IT,english_council,,HCK,Q5637369,london-borough-of-hackney,https://publicsectorcodebyorg.co.uk/org/london-borough-of-hackney
LBHounslow,english_council,,HNS,Q5913301,london-borough-of-hounslow,https://publicsectorcodebyorg.co.uk/org/london-borough-of-hounslow
hull-city-council,english_council,,KHL,Q5935834,hull-city-council,https://publicsectorcodebyorg.co.uk/org/hull-city-council
RoyalBoroughKingston,english_council,,KTT,Q6413671,royal-borough-of-kingston-upon-thames,https://publicsectorcodebyorg.co.uk/org/royal-borough-of-kingston-upon-thames
LambethCouncil,english_council,,LBH,Q6481450,london-borough-of-lambeth,https://publicsectorcodebyorg.co.uk/org/london-borough-of-lambeth
Lichfield-District-Council,english_council,,LIF,Q6543271,lichfield-district-council,https://publicsectorcodebyorg.co.uk/org/lichfield-district-council
LiverpoolCityCouncil,english_council,,LIV,Q6658351,liverpool-city-council,https://publicsectorcodebyorg.co.uk/org/liverpool-city-council
LutonCouncil,english_council,,LUT,Q16997109,luton-borough-council,https://publicsectorcodebyorg.co.uk/org/luton-borough-council
OxfordshireCountyCouncil,english_council,,OXF,Q6386253,oxfordshire-county-council,https://publicsectorcodebyorg.co.uk/org/oxfordshire-county-council
Reading-Borough-Council,english_council,,RDG,Q17018654,reading-borough-council,https://publicsectorcodebyorg.co.uk/org/reading-borough-council
rothgov,english_council,,ROT,Q17020059,rotherham-metropolitan-borough-council,https://publicsectorcodebyorg.co.uk/org/rotherham-metropolitan-borough-council
